page,level,name_zh,name_en,poisoning_chapter19,accidental,intentional_self_harm,undetermined_intent,treatment_adverse_effect
1645,1,石灰(漂白剂),lime (bleach),T54.3,X49.-,X69.-,Y19.-,
1645,2,和硼酸洗液,and boric acid solution,T49.0,X44.-,X64.-,Y14.-,Y56.0
1645,1,苏打—另见次氯酸钠,"soda-see also Sodium, hypochlorite",,,,,
1645,2,溶液,solution,T49.0,X44.-,X64.-,Y14.-,Y56.0
1645,1,烃类NEC,hydrocarbons NEC,T53.9,X48.-,X68.-,Y18.-,
1645,2,溶剂,solvents,T53.9,X46.-,X66.-,Y16.-,
1645,1,氯代莰烯[毒杀芬](杀虫药),camphene,T53.6,X48.-,X68.-,Y18.-,
1645,0,氯化氨基汞,Ammoniated mercury,T49.0,X44.-,X64.-,Y14.-,Y56.0
1645,0,氯化苯甲烃胺- 现译名,Hydrargyri aminochloridum,T49.0,X44.-,X64.-,Y14.-,Y56.0
1645,0,苯扎氯铵,Benzalkonium (chloride),T49.0,X44.-,X64.-,Y14.-,Y56.0
1646,0,氯化苦(烟雾)(杀虫药),Chloropicrin (fumes),T53.6,X46.-,X66.-,Y16.-,
1646,1,杀虫药,pesticide,T60.8,X48.-,X68.-,Y18.-,
1646,0,氯化氯异吲哚铵-现译名,Chlorisondamine chloride,T46.9,X44.-,X64.-,Y14.-,Y52.9
1646,0,氯化铷,Rubidium chloride Rb82,T50.8,X44.-,X64.-,Y14.-,Y57.6
1646,0,氯化亚铬-现译名铬酰氯,Chromyl chloride,T56.2,X49.-,X69.-,Y19.-,
1646,0,氯化亚汞-现译名轻粉,Calomel,T49.0,X44.-,X64.-,Y14.-,Y56.0
1646,0,氯环利嗪(抗组胺药),Chlorcyclizine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1646,0,氯磺丙脲(降血糖药),Chlorpropamide,T38.3,X44.-,X64.-,Y14.-,Y42.3
1646,0,氯磺环己脲(降血糖药),Chlorhexamide,T45.1,X44.-,X64.-,Y14.-,Y43.3
1646,0,氯吉兰(抗抑郁药),Clorgiline,T43.1,X41.-,X61.-,Y11.-,Y49.1
1646,0,氯己定[洗必太](消毒防腐剂),Chlorhexidine,T49.0,X44.-,X64.-,Y14.-,Y56.0
1646,0,氯甲苯二磺胺-现译名,Disulfamide,T50.2,X44.-,X64.-,Y14.-,Y54.3
